location ,easting ,northing ,strike ,dip ,trend ,plunge 
13-TSL-32 ,553090,5153114,288,53,30,58
13-TSL-20 ,553117,5153753,288,62,55,58
12-TSL-15 ,553121,5152301,300,56,24,55
13-TSL-31 ,553359,5152857,308,56,355,52
13-TSL-7 ,553379,5154706,295,63,313,29
12-TSL-8 ,553387,5152784,297,48,16,47
13-TSL-39 ,553464,5154349,294,66,346,65
13-TSL-6 ,553548,5154710,315,60,324,27
12-TSL-24 ,554220,5159474,288,50,41,48
12-TSL-29 ,554942,5160955,284,52,62,41
12-TSL-19 ,554947,5155847,286,59,337,52
13-TSL-4 ,554979,5155062,292,56,13,63
12-TSL-31 ,555105,5160561,285,62,50,57
12-TSL-9 ,555453,5149141,295,54,53,50
13-TSL-37.1 ,555527,5150617,323,63,53,63
13-TSL-36 ,555543,5152055,309,75,350,53
12-TSL-33 ,555631,5160286,264,71,61,48
12-TSL-36 ,556012,5157321,303,52,9,49
13-TSL-10.1 ,556042,5157269,247,48,18,40
13-TSL-1 ,556201,5156192,315,51,24,48
13-TSL-38.1 ,556490,5154729,302,54,332,48
12-TSL-21 ,556647,5156041,303,52,355,45
13-TSL-14 ,556812,5156241,293,69,348,58
13-TSL-50.4 ,557395,5164863,52,67,71,39
13-TSL-27 ,557447,5155990,309,66,22,68
13-TSL-25 ,557532,5156097,306,51,19,52
13-TSL-41 ,557800,5163786,74,31,238,16
13-TSL-24 ,557836,5155990,327,61,5,42
13-TSL-23.1 ,557969,5155993,330,78,349,57
13-TSL-42 ,557971,5163945,39,38,60,9
13-TSL-43 ,558190,5164262,357,30,28,16
13-TSL-49.9 ,558304,5164892,206,42,214,5
13-TSL-46 ,558615,5169780,326,49,67,47
13-TSL-44.3 ,558729,5164569,21,41,41,15
13-TSL-44.32 ,558745,5164569,44,58,39,4
13-TSL-44.1 ,558786,5164589,15,33,53,12
13-TSL-49.4 ,558956,5168786,336,59,61,55
13-TSL-45.4 ,558972,5165164,290,61,70,49
13-TSL-49.5 ,558982,5168403,319,45,49,45
13-TSL-49 ,559063,5170431,317,38,33,35
13-TSL-49.1 ,559075,5170416,22,35,69,25
13-TSL-49.2 ,559077,5170414,335,52,65,52
13-TSL-49.3 ,559079,5170412,323,61,51,59
13-TSL-49.6 ,559117,5167347,311,55,70,51
13-TSL-46.1 ,559163,5170086,320,57,55,54
13-TSL-45.9 ,559193,5167930,327,50,46,45
13-TSL-45.8 ,559400,5167731,309,50,78,44
13-TSL-49.7 ,559479,5165587,325,34,37,33
13-TSL-48.2 ,559485,5170232,300,76,59,66
12-TSL-14 ,559665,5163392,279,30,48,23
13-TSL-44.6 ,559887,5165513,350,50,66,46
13-TSL-47i ,559899,5170340,292,83,94,73
13-TSL-48 ,559987,5170419,283,86,56,68
13-TSL-45.7 ,560015,5167128,344,49,36,41
13-TSL-45.2 ,560039,5166529,11,30,48,19
13-TSL-52.2 ,561482,5161721,312,46,35,43
13-TSL-52.4 ,562182,5161385,329,40,30,36
13-TSL-52.3 ,562183,5161384,341,39,71,38
13-TSL-53.2 ,562445,5161179,335,35,69,34
13-TSL-53 ,562469,5161107,308,44,47,42
13-TSL-53.4 ,562495,5161175,318,49,59,47
13-TSL-54.1 ,563347,5160922,325,55,70,57
13-TSL-54.2 ,563387,5160922,305,58,94,39
13-TSL-55.1 ,563640,5161621,349,35,41,30
12-TSL-11 ,563916,5160475,300,60,79,48
13-TSL-58.1 ,564407,5161525,316,89,315,6
13-TSL-58 ,566295,5161832,326,61,74,57
13-TSL-57.1 ,566475,5161692,327,58,29,58
13-TSL-56.8 ,567079,5161942,347,58,7,33
