location,easting,northing,strike,dip,rake
10NB251,563187,4920843,0,75,84
10NB296,564303,4917183,1,74,84
10NB288,564939,4919194,1,78,109
10NB334,562780,4910922,2,83,106
10nb15,563700,4914745,2,79,70
10NB353,563146,4916000,2,70,86
10NB259,564014,4916127,2,80,94
10NB284,564090,4918880,2,76,68
12nb58,565161,4925777,3,90,90
10NB351,562545,4914749,4,70,83
10NB295,564581,4916838,4,74,94
10NB345,561750,4917349,4,79,81
12nb74,564609,4925466,4,84,88
12nb14,565854,4925645,4,82,87
10NB318,562379,4918476,5,87,85
10NB274,563763,4919693,5,68,49
292,561008,4921378,5,68,88
12nb8,565187,4925595,5,84,90
10NB303,563145,4911642,6,74,88
10NB320,561771,4918228,6,83,106
10NB282,563709,4918710,6,74,89
10nb256,562933,4920045,6,82,76
10NB254,563759,4921942,6,76,107
10NB255,564296,4922089,6,72,81
10NB299,563764,4917245,7,66,77
316,559640,4915004,8,77,79
225,563998,4915962,8,74,83
233,562818,4919310,8,76,76
10NB270,562907,4920261,8,67,60
12nb73,564367,4925408,8,83,90
12nb9,565249,4925632,8,79,92
10NB304,562493,4911386,9,81,96
10NB283,564069,4918528,9,55,64
10NB272,562508,4920909,9,75,104
10nb21,560176,4914984,10,74,98
10NB341,562284,4916038,10,55,80
10NB322,561574,4917466,10,53,75
10NB275,564084,4919796,10,74,86
10NB276,564369,4920044,10,71,94
12nb48,561006,4921364,10,65,100
337,564778,4925527,10,81,94
237,561946,4918274,11,86,72
10NB285,564201,4919037,11,78,71
348,563819,4923745,11,85,77
10NB271,562765,4920729,13,70,94
10NB302,563437,4911950,14,67,97
10NB323,561806,4917596,14,75,86
10NB277,564575,4920338,14,69,87
10NB306,561585,4911310,15,75,101
10NB315,562219,4912076,15,77,102
10NB314,562119,4912641,15,80,87
10NB313,562060,4912935,15,76,53
10NB348,562017,4916269,15,67,68
287,560766,4919763,15,83,99
10NB336,562484,4909840,16,65,86
10NB337,562862,4910336,16,84,106
253,564162,4918708,16,82,78
10NB287,564619,4919104,16,83,92
345,564813,4922999,16,86,120
12nb6,564099,4925419,16,80,82
10NB309,561398,4912922,17,75,96
10NB300,563630,4917000,17,76,98
10NB269,562537,4920037,17,76,95
180,563219,4911445,18,78,60
206,563355,4913162,18,76,98
271,562921,4914587,18,84,72
10nb20,559716,4915012,18,80,74
227,564460,4916503,18,70,70
243,562536,4916523,18,85,103
276,562903,4920219,18,78,86
283,562139,4921509,18,80,96
341,563129,4922574,18,70,80
293,561411,4922912,18,84,72
304,561572,4923631,18,75,72
204,563447,4912616,19,77,98
10NB311,562016,4913416,19,80,86
278,562773,4920762,19,70,83
10NB253,563408,4921898,19,74,72
245,561466,4916675,20,65,96
10NB250,563281,4920358,20,74,83
336,561302,4925354,20,82,88
203,563465,4912283,21,78,102
10NB308,561391,4912787,21,77,98
181,562848,4911146,22,82,102
10nb19,562197,4911926,22,79,90
273,562499,4919385,22,84,88
275,562606,4920092,22,79,98
344,564770,4922618,22,85,88
294,561498,4923408,23,84,86
349,563386,4923719,23,83,76
224,563924,4915661,24,75,82
251,564046,4919273,24,82,73
310,563570,4921601,24,81,96
191,563032,4911027,25,80,92
207,563206,4913291,25,85,105
12nb36,561614,4916371,25,85,80
236,562544,4918749,25,82,65
335,564258,4925347,25,68,90
216,561404,4911631,27,71,102
258,560911,4916388,28,76,84
249,561643,4916771,28,71,100
309,563594,4921409,28,84,98
269,563258,4914518,29,80,83
218,561763,4912260,32,78,104
268,563536,4914451,32,82,100
202,563512,4912056,33,85,84
318,561510,4912827,36,77,73
185,562022,4911292,38,55,98
229,564252,4916791,38,80,75
10NB301,563768,4916433,166,78,116
10NB333,562945,4911224,169,85,105
10NB319,562177,4918387,171,83,87
10NB376,562668,4919460,175,79,90
10NB257,562733,4919640,181,72,80
10NB268,562491,4919388,197,88,98
10nb17,563439,4913213,330,52,102
10NB325,562225,4917845,350,86,105
10NB331,563148,4910998,352,75,79
315,560210,4915033,353,85,83
10NB327,562898,4918849,353,79,87
10nb16,562864,4915344,354,82,98
10NB310,561791,4913562,355,75,101
10NB342,562374,4916633,355,80,94
10NB316,563126,4919207,355,62,104
12nb27,565758,4922420,355,75,93
10NB326,562682,4918413,356,75,83
10NB273,563192,4921417,356,75,95
10NB344,562264,4917415,357,79,92
10NB324,561897,4917860,357,61,100
