location,easting,northing,strike,dip
10B352,562899,4915537,0,81
12b6,564099,4925419,0,76
12b9,565249,4925632,0,84
12b9,565249,4925632,0,80
12b10,565508,4925751,0,87
12b13,565492,4925823,0,80
12b19,563193,4920861,0,80
12b28,563550,4912053,0,75
12b73,564367,4925408,0,82
12b74,564609,4925466,0,83
12b9,565249,4925632,1,84
12b6,564099,4925419,2,80
12b9,565249,4925632,2,88
12b73,564367,4925408,2,88
12b74,564609,4925466,2,80
12b6,564099,4925419,3,75
12b6,564099,4925419,3,80
12b7,564258,4925370,3,83
12b9,565249,4925632,3,87
10B347,561990,4916474,4,76
12b63,564555,4925819,4,82
12b73,564367,4925408,4,79
186,561654,4911123,5,81
12b7,564258,4925370,5,73
12b7,564258,4925370,5,84
12b9,565249,4925632,5,81
12b9,565249,4925632,5,82
12b9,565249,4925632,5,90
12b73,564367,4925408,5,82
12b6,564099,4925419,6,79
12b6,564099,4925419,6,77
12b6,564099,4925419,6,81
12b7,564258,4925370,6,81
12b7,564258,4925370,6,85
12b9,565249,4925632,6,85
10b18,563252,4912347,7,77
10B340,562668,4916013,8,81
184,562273,4911342,8,68
12b6,564099,4925419,8,77
12b6,564099,4925419,8,81
12b6,564099,4925419,8,80
12b18,563126,4920162,8,84
12b74,564609,4925466,8,80
12b6,564099,4925419,9,75
12b7,564258,4925370,9,80
12b7,564258,4925370,9,80
12b49,561431,4922977,9,76
12b52,563344,4924630,9,78
10B260,564573,4916371,10,75
10B298,563985,4917688,10,68
10B317,562561,4919112,10,76
342,563437,4922678,10,85
12b6,564099,4925419,10,85
12b6,564099,4925419,10,72
12b9,565249,4925632,10,89
12b54,560198,4915017,10,84
12b73,564367,4925408,10,80
12b15,566528,4925343,11,81
10B294,564714,4918101,12,71
10B350,562181,4914854,12,70
12b9,565249,4925632,12,90
257,563383,4918160,13,80
192,563018,4911014,13,80
281,562606,4922570,13,74
12b74,564609,4925466,13,85
12b74,564609,4925466,13,84
12b33,563237,4916238,14,65
10B252,563182,4921127,15,76
10B335,562734,4910230,15,75
353,563856,4924651,15,70
158,560823,4920948,15,80
12b1,564064,4919837,15,75
12b22,564910,4922012,15,83
256,564196,4917699,16,76
12b41,561281,4913879,16,80
12b74,564609,4925466,16,81
10B278,565277,4920296,18,78
307,563652,4920458,18,75
311,563819,4921753,18,86
270,563203,4914508,18,80
265,562183,4914853,18,72
12b29,563356,4911550,18,82
10B343,562093,4917361,19,69
226,564325,4916243,19,68
343,564066,4922584,20,74
347,564202,4923510,20,85
232,563145,4918523,20,76
10b339,562916,4916258,21,77
317,561254,4915050,21,78
12b35,562083,4916519,21,73
12b42,562278,4914361,21,85
200,562424,4910135,22,78
215,561358,4911562,22,82
222,562320,4911899,22,84
12b92,559931,4914940,22,80
252,564360,4919255,23,83
267,563278,4914963,23,84
219,562149,4912372,23,76
262,561058,4915442,23,70
12b34,562545,4916573,23,80
12b37,561122,4915981,23,83
12b20,563579,4921650,24,82
12b53,559727,4915063,24,84
213,562414,4910680,25,80
217,561601,4911802,25,75
12b21,564148,4922080,25,84
291,561226,4921280,26,78
319,563260,4923531,26,88
12b31,562199,4911178,26,78
12b40,560441,4914577,26,78
12b81,561353,4911377,26,84
244,562086,4916520,27,74
183,562385,4911331,28,70
246,561112,4916706,28,84
280,562665,4920857,28,74
284,562343,4920861,28,82
306,563613,4920114,30,79
242,563007,4916431,30,80
338,560845,4921119,30,76
12b32,561675,4911115,30,85
254,564448,4918489,31,82
261,560811,4915223,31,70
228,564391,4916670,32,72
230,564096,4915684,32,82
313,564469,4921361,33,78
205,563502,4913000,33,82
272,562810,4914633,34,85
314,564291,4920918,35,84
334,564259,4925347,35,80
12b30,562269,4911430,35,84
214,561405,4911320,36,80
247,561082,4916561,36,76
250,563828,4919173,38,85
255,564141,4918083,43,80
354,564722,4924615,45,83
12b38,560845,4916189,190,20
10B305,562397,4911536,233,25
241,561125,4917141,240,74
10B349,562041,4915544,350,78
10B297,564330,4917548,353,74
10B321,561292,4917601,353,75
10B286,564402,4919040,354,66
10B346,561624,4916926,354,66
12b73,564367,4925408,354,79
10B312,562092,4913318,358,78
290,561247,4921925,358,81
12b7,564258,4925370,358,85
12b6,564099,4925419,359,85
