EigenVal1	EigenVal2	EigenVal3	EigenVec1X	EigenVec1Y	EigenVec1Z	EigenVec2X	EigenVec2Y	EigenVec2Z	EigenVec3X	EigenVec3Y	EigenVec3Z	Volume3d (mm^3) 	Shape_VA3d	Length3d (mm) 	index
0.970011	0.247098	0.100952	0.995748	0.0894116	-0.0221681	0.0787923	-0.701994	0.707811	-0.0477246	0.706548	0.706054	1.56004	60.9163	5.02221	17677
0.856549	0.265839	0.0604704	0.593233	-0.480696	-0.645759	0.80009	0.263318	0.538999	0.0890546	0.836418	-0.540809	0.881343	90.86	4.22188	18509
0.823766	0.120651	0.0688752	0.242931	-0.000465443	0.970043	0.948528	0.209559	-0.237443	-0.203171	0.977796	0.0513499	0.704787	33.9706	3.49123	19571
0.675538	0.0576434	0.0395763	0.867057	-0.489176	0.0944451	0.427044	0.632089	-0.646604	0.256605	0.600975	0.756957	0.354642	55.0275	3.63938	1039
0.588774	0.151827	0.0604363	-0.351776	-0.268958	0.896613	0.90421	-0.345453	0.251131	0.242194	0.899069	0.364716	0.570384	29.1398	3.20591	18126
0.569513	0.0670699	0.0459662	-0.0425751	0.561722	0.82623	0.827294	-0.443835	0.344377	0.560154	0.698197	-0.445813	0.517334	25.0628	3.44176	3684
0.547276	0.126666	0.0449114	-0.138613	0.598615	0.788953	-0.867376	0.311093	-0.388432	0.477959	0.738161	-0.476103	0.450858	26.6057	3.48793	18349
0.483157	0.0794504	0.0227461	0.143542	-0.431713	0.890517	0.203924	0.893427	0.400253	0.968406	-0.124145	-0.216281	0.24069	36.0652	3.04991	2289
0.450931	0.225075	0.036433	-0.20528	0.974489	0.0907296	-0.44227	-0.175064	0.879631	0.873074	0.140444	0.466924	0.956608	68.1002	3.71796	18516
0.445563	0.0812781	0.0348945	0.620222	-0.647295	0.443096	0.738362	0.29102	-0.608383	0.264853	0.704498	0.658434	0.543781	21.643	3.06749	8796
0.397829	0.214754	0.0972546	0.131691	0.971409	0.197541	0.598758	-0.236766	0.765134	0.790029	0.0175175	-0.612819	2.06459	21.478	3.15969	24219
0.357373	0.0487059	0.00916001	-0.132751	0.896967	-0.421696	0.0054032	0.42611	0.904655	0.991135	0.117816	-0.0614132	0.0543297	37.4646	2.27313	18378
0.340103	0.0284744	0.0138106	-0.129314	-0.555927	0.821111	-0.262133	0.817771	0.512384	0.956329	0.148982	0.251476	0.0863967	21.6594	2.03264	20761
0.335106	0.10273	0.0420745	0.738096	-0.236786	0.631781	-0.00188084	0.935668	0.352877	-0.674693	-0.261646	0.690167	0.499505	21.3386	2.47572	24038
0.333756	0.0713011	0.0274358	0.404305	0.910841	0.0831049	0.827744	-0.325734	-0.456878	0.389073	-0.253508	0.885639	0.27143	22.6433	2.72936	17205
0.328869	0.16404	0.0508981	-0.494371	0.556977	0.667363	0.302957	-0.609204	0.732863	0.814748	0.564489	0.132432	0.698886	28.3339	2.43164	20979
0.326775	0.0319267	0.0132671	-0.690465	-0.142788	0.709133	-0.155495	0.986705	0.0472772	0.706456	0.0776237	0.703488	0.0590445	23.4405	1.98832	7253
0.320393	0.0392701	0.0172448	0.621902	-0.0539392	0.781235	-0.40415	0.832391	0.379195	0.670746	0.551558	-0.495866	0.126551	19.1248	2.37951	16611
0.30644	0.188462	0.0701996	0.45759	0.739098	-0.494313	-0.847644	0.194706	-0.493547	-0.268534	0.644844	0.715587	0.712718	17.192	2.82022	16864
0.285653	0.0413292	0.00850437	0.639316	0.664434	-0.387043	0.699865	-0.711306	-0.065061	0.318535	0.229283	0.919763	0.0994951	27.8234	1.99985	19024
0.273576	0.0462387	0.0313932	0.963909	0.226899	-0.139267	0.0241168	0.44654	0.894438	-0.265136	0.865516	-0.424952	0.368739	13.2691	2.0589	20237
0.26608	0.0689304	0.0594993	0.273507	0.959667	0.0650582	0.956671	-0.278428	0.0851981	-0.0998759	-0.0389371	0.994238	0.505766	22.6026	2.89147	19466
0.261977	0.120878	0.0229901	0.540076	-0.418656	0.730099	0.451527	0.876215	0.168435	0.71024	-0.238691	-0.662258	0.576644	15.218	2.36268	18121
0.254598	0.0654204	0.023507	0.261776	0.928624	0.262928	0.76014	-0.366242	0.536707	-0.594694	-0.0593651	0.801757	0.16786	26.123	2.09743	17233
0.240458	0.0788751	0.0342863	0.395943	-0.113007	0.911295	0.221135	0.974927	0.0248188	0.891251	-0.191692	-0.411006	0.2319	24.3779	1.99443	13043
0.222857	0.03092	0.0088637	0.356742	0.881464	0.309444	-0.133663	-0.27967	0.950746	0.924591	-0.380533	0.0180491	0.178679	12.9921	2.00033	26009
0.219934	0.0646269	0.0113944	-0.543754	0.731821	-0.410815	0.838664	0.455618	-0.298422	0.0312168	0.506804	0.861496	0.151998	35.009	2.53429	15011
0.219621	0.00666309	0.00404147	0.537183	0.67061	-0.511582	-0.289204	0.716198	0.635155	0.792335	-0.193243	0.578672	0.0362978	11.3179	1.56154	22199
0.189121	0.070886	0.0200418	-0.327852	0.432364	0.839985	0.664117	0.737841	-0.120578	0.671909	-0.518316	0.529043	0.446612	8.2902	1.93949	21181
0.187362	0.107736	0.0235625	-0.422166	0.825387	0.37485	0.0867172	-0.374839	0.923025	0.902361	0.422176	0.0866692	0.391486	14.3738	2.38447	19149
0.177447	0.0379312	0.0193527	0.505253	0.221338	0.834103	0.556774	0.654862	-0.511037	-0.659335	0.72261	0.207636	0.137167	21.6205	2.10152	19790
0.175075	0.143721	0.0259847	0.66905	0.699781	0.250357	0.526635	-0.684066	0.504687	-0.524431	0.205815	0.826204	0.41161	12.0953	2.72902	19311
0.170043	0.0143854	0.00394312	-0.453184	0.800281	0.392651	0.891406	0.40467	0.204053	-0.00440523	-0.442485	0.896765	0.0389831	10.7779	1.65494	18399
0.163995	0.0266458	0.0129042	0.583747	-0.470567	-0.661669	0.382536	0.878209	-0.28708	0.716174	-0.0855298	0.692661	0.0712531	15.9078	2.09109	17495
0.161303	0.0147893	0.0108478	0.179403	0.814414	-0.551855	-0.185361	0.578893	0.794056	0.966155	-0.0401636	0.254816	0.0426519	14.4939	1.4658	16686
0.158112	0.0286793	0.014876	0.829911	-0.367571	-0.419689	0.515308	0.216775	0.829136	0.213788	0.904378	-0.369317	0.175744	6.78862	1.59009	20630
0.157079	0.0172782	0.00356387	0.756606	-0.480753	0.443198	0.641725	0.675992	-0.362249	-0.125446	0.558491	0.81997	0.0520972	28.0883	1.4921	15892
0.150532	0.0479223	0.00151417	-0.00727447	0.865667	-0.500567	0.995375	0.0542213	0.0793035	-0.0957918	0.497675	0.862058	0.0809169	24.7435	1.70979	1421
0.149879	0.0546608	0.0269638	-0.514075	0.812907	-0.273696	0.742033	0.581533	0.333477	-0.430249	0.0316592	0.902155	0.159273	19.4866	1.6461	27813
0.14805	0.0413469	0.00789832	0.479767	0.748447	0.457877	0.0997905	-0.565019	0.819021	0.871702	-0.347248	-0.345766	0.0604808	13.6534	1.45187	27969
0.143107	0.102206	0.0777172	0.738832	-0.660393	0.134196	0.673772	0.720188	-0.165411	0.0125896	0.212629	0.977052	1.15212	6.01812	2.1045	18031
0.142749	0.0521032	0.0135143	0.86469	0.49617	-0.0782756	-0.454736	0.707043	-0.541577	-0.21337	0.503891	0.836999	0.145082	11.2655	1.6218	18400
0.141058	0.0321171	0.0168845	0.157751	0.92528	0.344923	0.360799	-0.379155	0.852095	0.919205	-0.00997073	-0.393652	0.101696	14.9845	1.70233	18706
0.139307	0.0177721	0.00743474	-0.286159	0.938237	0.194486	-0.0486803	-0.216947	0.974969	0.956945	0.269529	0.107755	0.0368443	16.3022	1.50476	17253
0.134643	0.0213904	0.00555526	-0.0518003	0.990639	-0.126295	-0.13679	0.118234	0.983519	0.989245	0.0682224	0.129385	0.0803392	8.3167	1.41783	16902
0.132833	0.0402956	0.0215378	0.0671073	0.40417	0.912219	-0.233086	0.895332	-0.379542	0.970138	0.187155	-0.15429	0.258675	7.94634	1.67753	20233
0.128599	0.049048	0.0105535	-0.0405664	0.0561289	0.997599	0.903159	-0.425002	0.0606384	0.427385	0.903451	-0.0334525	0.0814633	16.026	1.92787	20138
0.126981	0.0522165	0.0106042	0.63287	0.493073	-0.596954	0.488429	0.343986	0.801942	-0.60076	0.799095	0.0231326	0.0779974	19.0885	1.54869	24009
0.120486	0.0329308	0.0138811	0.66275	-0.0974283	0.742475	-0.322447	0.857745	0.400377	0.675862	0.504759	-0.537055	0.0898938	23.2071	1.63025	18060
0.118098	0.0177536	0.0158253	-0.231974	0.75302	-0.61575	0.543682	0.625281	0.559852	0.806597	-0.204901	-0.554453	0.0326134	29.3162	1.62157	29965
0.115888	0.0320735	0.0185863	-0.241748	0.846613	-0.474136	0.297236	0.52975	0.794365	0.923693	0.0511054	-0.37971	0.0986677	14.6962	1.83383	17948
0.114614	0.0570821	0.0202078	0.981225	0.141488	-0.131065	0.12327	0.062555	0.9904	-0.148328	0.987962	-0.0439394	0.271524	10.9485	1.99418	4219
0.111558	0.0369791	0.00982705	0.932876	-0.267424	-0.241302	0.0407056	-0.587353	0.808306	0.35789	0.763872	0.537042	0.136464	9.74302	1.51298	9865
0.104663	0.00457018	0.0030631	-0.159242	0.572669	0.804172	-0.725194	0.484859	-0.488882	0.669877	0.661031	-0.338087	0.0197335	9.74632	1.33575	17312
0.104311	0.035862	0.0207468	0.926713	-0.35942	-0.109637	0.112012	-0.014281	0.993604	0.358687	0.933067	-0.0270251	0.261938	6.5341	1.87866	18507
0.103186	0.0317655	0.0121894	0.976462	-0.0622732	-0.206504	0.215689	0.281703	0.934945	4.93915E-05	0.957479	-0.288503	0.0763426	15.2586	1.29181	23733
