EigenVal1	EigenVal2	EigenVal3	EigenVec1X	EigenVec1Y	EigenVec1Z	EigenVec2X	EigenVec2Y	EigenVec2Z	EigenVec3X	EigenVec3Y	EigenVec3Z	Volume3d (mm^3) 	Shape_VA3d	Length3d (mm) 	index
1.60236	0.418774	0.242309	0.671721	0.166707	0.721803	0.725509	0.0489354	-0.686471	-0.149761	0.984791	-0.0880764	8.64179	26.6383	6.34741	3641
1.19677	0.313892	0.0894106	-0.0208759	0.977223	-0.211185	0.976183	-0.0257004	-0.215421	0.215942	0.210652	0.953412	6.59608	10.8586	5.13232	5333
0.916437	0.0592023	0.0489172	0.795601	0.179163	-0.578722	0.556838	0.160028	0.81506	-0.23864	0.970717	-0.0275531	0.671612	15.5392	3.04439	3548
0.554877	0.0495201	0.0402336	0.523485	-0.267925	0.808813	0.749996	-0.305558	-0.586635	0.404314	0.913702	0.0409879	0.674234	17.373	2.76475	925
0.522767	0.187532	0.164084	-0.248517	0.173734	0.95292	0.363324	0.928675	-0.0745603	-0.897906	0.327689	-0.293913	1.25171	29.969	3.29619	969
0.460113	0.264341	0.0838078	-0.495106	0.562699	-0.661997	-0.451997	0.483897	0.749361	0.742003	0.670234	0.0147574	2.64095	9.78752	3.27877	2971
0.433226	0.0642084	0.0113232	0.85657	-0.443596	-0.263648	0.415138	0.89584	-0.15853	0.306509	0.0263414	0.951503	0.391299	14.037	2.93603	1259
0.359219	0.0187062	0.00451968	-0.0978334	0.405736	0.908739	0.287143	0.885794	-0.364578	0.952878	-0.225271	0.203165	0.157775	6.28694	2.34151	2302
0.268242	0.0358478	0.023755	-0.0585214	0.9104	-0.40957	0.062788	0.412817	0.908647	0.99631	0.0274592	-0.0813208	0.499771	5.55134	2.10935	5651
0.251816	0.0412254	0.0221705	0.693506	0.149227	-0.704827	0.0195789	0.974048	0.225491	0.720185	-0.170179	0.672587	0.380651	15.8129	2.2339	3033
0.248194	0.052363	0.0115565	0.682003	-0.174381	0.710256	0.122176	0.984676	0.12444	0.721072	-0.00190768	-0.692858	0.194994	18.267	1.99314	5727
0.231064	0.0811511	0.031937	-0.270082	0.565581	0.779213	-0.957314	-0.0711782	-0.28015	0.102984	0.821615	-0.560663	0.294208	16.9471	1.88509	1951
0.228318	0.0276195	0.0126022	-0.27459	0.489958	0.82737	0.932425	0.345886	0.104627	-0.234912	0.80019	-0.551826	0.217225	7.63718	2.13508	3600
