EigenVal1	EigenVal2	EigenVal3	EigenVec1X	EigenVec1Y	EigenVec1Z	EigenVec2X	EigenVec2Y	EigenVec2Z	EigenVec3X	EigenVec3Y	EigenVec3Z	Volume3d (mm^3) 	Shape_VA3d	Length3d (mm) 	index
4.98383	1.39513	0.79464	0.00878376	-0.208599	0.977962	-0.596958	0.783511	0.172485	0.802224	0.585317	0.117643	44.7812	471.161	9.96381	1
2.02928	0.920262	0.349208	-0.50613	0.096384	0.857055	0.849117	-0.118418	0.514759	0.151106	0.988275	-0.0219062	16.1617	250.671	7.11936	2
1.6903	0.428601	0.301315	-0.0782383	0.534153	0.84176	0.268381	0.824462	-0.498231	0.96013	-0.186932	0.207861	5.51551	353.105	5.90374	3
1.19168	0.0275518	0.0125638	0.948821	-0.306553	-0.0759147	0.0101428	-0.210675	0.977503	0.31565	0.928246	0.196784	0.249401	51.4042	3.90143	39
1.16195	0.183965	0.128639	-0.15213	0.862185	-0.483212	0.932424	0.28734	0.219137	-0.327783	0.417221	0.847635	0.970238	202.268	4.60449	13
1.10648	0.201926	0.152832	-0.474723	0.864407	0.165647	0.0434627	-0.164953	0.985343	0.879061	0.474965	0.0407376	3.82917	143.406	5.48743	4
0.862424	0.0180717	0.00669185	0.434442	-0.245809	0.866509	0.877928	-0.0993914	-0.468363	0.201251	0.964209	0.172623	0.167204	31.2835	3.70582	63
0.759601	0.00553353	0.00343311	-0.337163	0.89197	0.301183	0.394437	-0.156646	0.905473	0.854834	0.42409	-0.299011	0.0673657	22.6539	3.05658	154
0.745431	0.188108	0.0534263	0.346719	-0.452892	0.821386	0.91848	-0.0136557	-0.395233	0.190214	0.891461	0.411237	0.569306	56.6127	3.33536	16
0.680568	0.223812	0.145695	-0.294994	-0.481073	0.825559	0.917983	0.0970365	0.384566	0.265114	-0.871294	-0.412992	2.14618	180.719	4.1963	6
0.658602	0.289975	0.0764129	-0.511236	0.853701	-0.0991611	-0.616534	-0.283911	0.734357	0.598768	0.436566	0.671481	2.37197	64.5767	4.6222	5
0.600865	0.150117	0.0881726	-0.460934	0.879148	0.12099	0.875775	0.428603	0.222078	-0.143383	-0.208323	0.967493	1.46011	93.849	4.44982	9
0.564039	0.120349	0.0510522	0.635367	-0.452761	0.625553	0.772188	0.378624	-0.510264	-0.00582209	0.80725	0.590182	0.4273	70.1955	2.72736	26
0.50365	0.0444148	0.0328202	0.983483	0.180632	0.0115809	0.0148652	-0.144371	0.989412	-0.180391	0.972897	0.144671	0.160538	71.9493	2.75079	67
0.482489	0.280377	0.063307	0.110136	0.993378	-0.0327112	0.29862	-0.00168127	0.954371	0.947996	-0.114879	-0.296827	1.58009	96.6798	4.27285	8
0.435009	0.00801941	0.00570369	0.559277	0.394513	0.729087	-0.753761	0.608078	0.24917	0.345041	0.688913	-0.637453	0.0614019	20.2139	2.40114	168
0.434334	0.0582326	0.023888	0.424656	0.759076	-0.493427	0.833926	-0.115773	0.539597	0.35247	-0.640624	-0.682177	0.220191	77.4087	2.58634	45
0.401788	0.0844224	0.0254242	-0.0950398	0.954457	0.282807	-0.251842	-0.297905	0.920776	0.96309	0.0162874	0.268686	0.352128	46.0079	2.50027	30
