easting	northing	strike	dip
503322.3723	3865797.159	15	55
503322.3723	3865797.159	11	48
503322.3723	3865797.159	20	38
503322.3723	3865797.159	25	42
503322.3723	3865797.159	3	35
503322.3723	3865797.159	4	41
503322.3723	3865797.159	8	38
503322.3723	3865797.159	11	47
503322.3723	3865797.159	12	37
503322.3723	3865797.159	18	52
503322.3723	3865797.159	25	55
503322.3723	3865797.159	71	69
503322.3723	3865797.159	42	56
503322.3723	3865797.159	50	72
503322.3723	3865797.159	47	67
503322.3723	3865797.159	24	62
503322.3723	3865797.159	15	52
503322.3723	3865797.159	354	52
