block	easting	northing	strike	dip
58	502529.6	3865684.3	22.49	50
58	503010.6	3865564.3	10.678	70
58	503312.6	3865262.3	42.788	60
58	502500.6	3864988.3	2.876	45
58	503343.6	3864941.3	26.489	60
59	504200.6	3865492.3	15.689	65
59	504865.6	3865383.3	2.288	90
59	503958.6	3865155.3	4.889	65
59	504915.6	3865163.3	26.491	80
59	506081.6	3864979.3	7.159	80
59	503887.6	3864655.3	0.041	45
59	504251.6	3864611.3	26.495	65
59	504179.6	3864445.3	33.303	65
59	504869.6	3864428.3	8.337	60
59	505565.6	3864392.3	8.238	75
59	504563.6	3864226.3	358.254	70
59	503749.6	3864074.3	345.504	55
59	504415.6	3864014.3	6.611	60
59	506570.6	3863947.3	3.048	55
59	505111.6	3863807.3	22.171	60
59	505671.6	3863759.3	35.429	60
59	504411.6	3863719.3	1.063	65
59	504935.6	3863614.3	37.054	55
59	504175.6	3863357.3	12.255	50
59	504903.6	3863210.3	31.331	70
62	507503.6	3865751.3	359.831	65
62	508197.6	3865629.3	357.694	65
62	508304.6	3865154.3	357.312	80
62	506647.6	3865122.3	16.675	75
62	507096.6	3865111.3	352.525	65
62	508867.6	3865019.3	42.705	60
62	508181.6	3864875.3	35.391	65
62	509246.6	3864822.3	35.41	60
62	508874.6	3864627.3	50.849	75
62	509516.6	3864590.3	54.854	50
62	509313.6	3864300.3	54.2	60
62	508360.6	3864188.3	41.945	70
62	509025.6	3863948.3	55.495	65
