specimen	easting	northing	L	F	P	Pj	T	max	int	min	Dmax (specimen)	Imax (specimen)	Dmin (specimen)	Imin (specimen)	Dmax (in-situ)	Imax (in-situ)	Dmin (in-situ)	Imin (in-situ)	e12	e23	e31	comments
CY13-171b-1	482729.9327	3861157.611	1.00928	1.00832	1.01767	1.01768	-0.0544042	856.297	848.425	841.428	218.063	19.2915	-26.2576	51.0701	-17.1086	52.9771	220.557	21.9683	20.9636	23.3151	11.4655	
CY13-171b-2a	482729.9327	3861157.611	1.01993	1.00112	1.02108	1.02374	-0.892423	900.377	882.781	881.792	220.697	21.5714	128.421	5.73737	-20.2367	52.026	158.574	37.968	6.61866	64.1351	6.26904	
CY13-171b-2b	482729.9327	3861157.611	1.00485	1.00875	1.01363	1.01382	0.286116	708.901	705.483	699.366	195.169	19.6296	-49.409	50.2786	-28.8937	75.7291	210.706	7.33437	21.9352	12.6832	8.21508	
CY13-171c-1	482729.9327	3861157.611	1.0131	1.02452	1.03794	1.03852	0.301144	3815.17	3765.85	3675.73	262.072	67.4969	159.773	5.04305	-39.0363	66.7789	194.17	14.4111	14.0171	7.77869	5.04565	
CY13-171c-2	482729.9327	3861157.611	1.00395	1.00068	1.00463	1.00501	-0.707627	1419.3	1413.7	1412.75	5.16263E-13	58.2825	-270	1.36825E-12	50	47.2825	-220	1.86283E-12	15.3922	58.1809	13.2319	
CY13-172b-1	481803.9444	3861646.567	1.00288	1.00489	1.00779	1.00788	0.258119	37.8538	37.745	37.5612	-180	80.0084	1.35996E-12	9.99155	181	28.9916	1	61.0084	9.8276	5.85488	3.68553	
CY13-172b-2a	481803.9444	3861646.567	1.00276	1.00596	1.00873	1.00893	0.365863	34.0662	33.9725	33.7713	74.1834	4.04962	-195.324	6.91879	88.5356	13.9975	-53.5545	72.4658	11.3625	5.35324	3.65654	
CY13-172b-2b	481803.9444	3861646.567	1.00139	1.01378	1.01519	1.01681	0.816202	39.4617	39.4071	38.8712	258.644	14.5011	167.136	5.8099	108.212	14.612	-45.4889	73.7853	19.0338	2.01462	1.82834	
CY13-172b-3	481803.9444	3861646.567	1.00171	1.00645	1.00817	1.00862	0.578986	40.1113	40.0426	39.7861	81.023	26.933	173.401	4.66918	67.8105	2.40138	-36.2202	80.1864	15.3481	4.20267	3.31738	
CY13-172b-3	481803.9444	3861646.567	1.00171	1.00645	1.00817	1.00862	0.578986	40.1113	40.0426	39.7861	81.023	26.933	173.401	4.66918	67.8105	2.40138	-36.2202	80.1864	15.3481	4.20267	3.31738	
CY13-172b-3	481803.9444	3861646.567	1.00351	1.00705	1.01059	1.01079	0.334226	29.3936	29.2907	29.0856	-240.758	80.5769	232.294	3.7182	194.567	16.4595	-268.596	37.6231	8.50755	4.29125	2.8607	
CY13-173a-1a	481503.4015	3861672.454	1.01091	1.01633	1.02742	1.0276	0.197422	30.9028	30.5691	30.0781	-68.418	22.5982	-251.102	67.3795	11.8434	0.752913	-78.8719	43.5327	4.06872E-12	2.76419E-12	1.64596E-12	
CY13-173a-1b	481503.4015	3861672.454	1.01113	1.01108	1.02233	1.02233	-0.00205769	30.5344	30.1983	29.8673	-43.7551	21.4331	87.0319	58.9968	28.8859	16.2702	-71.639	32.0411	4.11852E-12	4.18143E-12	2.07487E-12	
CY13-173a-2	481503.4015	3861672.454	1.01275	1.01045	1.02333	1.02337	-0.0983296	34.1225	33.693	33.3445	-69.5468	20.5881	-230.752	68.357	13.5742	2.84452	-79.6141	48.223	2.51291	3.09547	1.38779	
CY13-173b-1a	481503.4015	3861672.454	1.00351	1.00705	1.01059	1.01079	0.334226	29.3936	29.2907	29.0856	-240.758	80.5769	232.294	3.7182	194.567	16.4595	-268.596	37.6231	8.50755	4.29125	2.8607	
CY13-173b-1b	481503.4015	3861672.454	1.00612	1.00367	1.00981	1.00991	-0.250126	27.2367	27.0711	26.9722	-32.6207	43.0628	232.526	5.17243	-88.7355	11.9092	175.641	24.9224	8.95238	14.7838	5.63387	
CY13-173b-2a	481503.4015	3861672.454	1.00408	1.00469	1.00879	1.0088	0.0693654	28.5215	28.4056	28.2729	20.0097	78.3904	226.989	10.3751	-57.9851	48.9172	-188.321	29.4362	13.2067	11.5919	6.2463	
CY13-173b-2b	481503.4015	3861672.454	1.00751	1.00399	1.01153	1.01171	-0.305529	29.6161	29.3953	29.2786	17.9521	74.1277	224.772	14.2382	-57.1936	44.6616	-188.714	33.8525	4.88062	9.17102	3.19665	
CY13-173b-2c	481503.4015	3861672.454	1.00793	1.00393	1.01189	1.01212	-0.336766	28.7212	28.4951	28.3836	9.01949	74.7819	220.979	12.9963	-60.6687	44.913	-193.387	34.2335	4.31544E-12	8.74947E-12	2.89002E-12	
CY13-174a-1	480944.3416	3861852.476	1.00069	1.01348	1.01418	1.016	0.902001	43.2984	43.2686	42.693	42.1064	14.8735	138.031	21.2397	-33.4415	12.3454	224.156	44.4609	60.2193	5.18097	4.92669	
CY13-174a-2a	480944.3416	3861852.476	1.00412	1.02067	1.02488	1.02667	0.665189	45.2077	45.0221	44.1103	45.5712	23.2377	150.699	31.2904	-26.9892	0.359114	242.465	56.6532	27.3777	6.01723	5.00527	
CY13-174a-2b	480944.3416	3861852.476	1.00068	1.01451	1.0152	1.01719	0.909935	42.5319	42.5031	41.895	26.702	45.9374	140.953	21.6784	-229.002	16.27	237.417	44.0838	44.902	2.71097	2.58818	
CY13-174a-2b	480944.3416	3861852.476	1.00068	1.01451	1.0152	1.01719	0.909935	42.5319	42.5031	41.895	26.702	45.9374	140.953	21.6784	-229.002	16.27	237.417	44.0838	44.902	2.71097	2.58818	
CY13-174b-1	480944.3416	3861852.476	1.00558	1.0099	1.01553	1.01573	0.277901	54.982	54.6769	54.1411	53.0724	20.7775	-206.274	25.9769	67.4519	14.2374	-56.2917	65.4499	6.43455	3.6745	2.3432	
CY13-174b-2	480944.3416	3861852.476	1.0061	1.00806	1.01421	1.01426	0.137662	54.8841	54.5511	54.1149	46.8215	36.231	-207.037	20.7782	61.6395	9.71318	-48.631	63.7076	4.67082	3.56881	2.02565	
CY13-174b-3	480944.3416	3861852.476	1.00887	1.0095	1.01845	1.01845	0.0341572	54.9394	54.4565	53.9441	42.5499	35.3649	149.745	22.6134	67.3139	17.4496	-59.4159	62.2735	2.23521	2.10684	1.08495	
CY13-174b-4	480944.3416	3861852.476	1.00551	1.00929	1.01485	1.01501	0.254431	54.4584	54.16	53.6616	52.7949	18.2333	-205.967	30.6079	70.7899	15.6859	-62.0959	67.5767	7.19924	4.3251	2.70844	
