easting	northing	strike 	dip
502028.6966	3871038.364	302	74
502028.6966	3871038.364	312	58
502028.6966	3871038.364	303	56
502028.6966	3871038.364	310	56
502028.6966	3871038.364	309	60
502028.6966	3871038.364	318	73
502028.6966	3871038.364	321	50
502028.6966	3871038.364	311	65
502028.6966	3871038.364	120	72
502028.6966	3871038.364	50	90
502028.6966	3871038.364	3	65
502028.6966	3871038.364	135	85
502028.6966	3871038.364	65	62
502028.6966	3871038.364	320	60
502028.6966	3871038.364	309	55
502028.6966	3871038.364	325	59
502028.6966	3871038.364	324	62
502028.6966	3871038.364	321	58
501561.8307	3870569.515	331	56
501561.8307	3870569.515	340	60
501561.8307	3870569.515	330	54
501561.8307	3870569.515	323	52
501561.8307	3870569.515	328	60
501561.8307	3870569.515	332	52
501561.8307	3870569.515	344	45
501561.8307	3870569.515	320	60
501561.8307	3870569.515	338	68
501561.8307	3870569.515	322	67
501561.8307	3870569.515	350	67
500916.358	3869320.409	0	52
500916.358	3869320.409	0	68
500916.358	3869320.409	8	65
500916.358	3869320.409	355	56
500916.358	3869320.409	357	70
500916.358	3869320.409	354	56
500916.358	3869320.409	9	62
500916.358	3869320.409	350	62
500916.358	3869320.409	358	60
500916.358	3869320.409	14	70
500916.358	3869320.409	25	65
500916.358	3869320.409	355	60
500916.358	3869320.409	0	57
500916.358	3869320.409	355	45
500916.358	3869320.409	355	51
500916.358	3869320.409	352	46
501828.7085	3866083.401	358	60
501828.7085	3866083.401	357	57
501828.7085	3866083.401	2	60
501828.7085	3866083.401	4	59
501828.7085	3866083.401	10	59
501828.7085	3866083.401	352	57
501828.7085	3866083.401	351	58
501828.7085	3866083.401	9	50
501828.7085	3866083.401	12	60
501828.7085	3866083.401	15	56
501828.7085	3866083.401	5	55
501828.7085	3866083.401	356	40
501828.7085	3866083.401	4	49
503322.3723	3865797.159	15	55
503322.3723	3865797.159	11	48
503322.3723	3865797.159	20	38
503322.3723	3865797.159	25	42
503322.3723	3865797.159	3	35
503322.3723	3865797.159	4	41
503322.3723	3865797.159	8	38
503322.3723	3865797.159	11	47
503322.3723	3865797.159	12	37
503322.3723	3865797.159	18	52
503322.3723	3865797.159	25	55
503322.3723	3865797.159	71	69
503322.3723	3865797.159	42	56
503322.3723	3865797.159	50	72
503322.3723	3865797.159	47	67
503322.3723	3865797.159	24	62
503322.3723	3865797.159	15	52
503322.3723	3865797.159	354	52
503475.6307	3874380.768	207	80
503475.6307	3874380.768	225	70
503475.6307	3874380.768	219	66
503475.6307	3874380.768	219	66
503475.6307	3874380.768	25	90
503475.6307	3874380.768	24	74
503475.6307	3874380.768	232	60
503475.6307	3874380.768	44	48
503475.6307	3874380.768	230	40
502767.3357	3872016.55	334	54
502767.3357	3872016.55	302	54
502767.3357	3872016.55	314	42
502767.3357	3872016.55	300	50
502767.3357	3872016.55	315	64
502767.3357	3872016.55	320	63
502767.3357	3872016.55	336	45
502767.3357	3872016.55	314	55
502767.3357	3872016.55	310	54
502767.3357	3872016.55	285	50
502767.3357	3872016.55	325	49
503982.3925	3856721.612	41	60
503982.3925	3856721.612	35	68
503982.3925	3856721.612	30	46
503982.3925	3856721.612	338	78
503982.3925	3856721.612	272	60
503982.3925	3856721.612	41	60
503982.3925	3856721.612	41	62
503982.3925	3856721.612	114	65
503982.3925	3856721.612	65	53
503982.3925	3856721.612	100	70
503982.3925	3856721.612	5	72
503982.3925	3856721.612	61	60
503982.3925	3856721.612	64	73
503982.3925	3856721.612	54	75
503982.3925	3856721.612	170	58
503982.3925	3856721.612	72	76
503982.3925	3856721.612	85	74
503982.3925	3856721.612	120	62
507087.7099	3857014.806	60	55
507087.7099	3857014.806	65	70
507087.7099	3857014.806	75	72
507087.7099	3857014.806	60	87
507087.7099	3857014.806	200	75
507087.7099	3857014.806	65	68
507087.7099	3857014.806	80	60
507087.7099	3857014.806	75	70
507087.7099	3857014.806	72	60
507087.7099	3857014.806	73	65
507087.7099	3857014.806	74	71
507087.7099	3857014.806	49	66
507087.7099	3857014.806	46	66
507087.7099	3857014.806	45	67
507087.7099	3857014.806	46	64
507087.7099	3857014.806	50	40
507087.7099	3857014.806	55	50
507087.7099	3857014.806	66	72
507087.7099	3857014.806	64	77
507087.7099	3857014.806	70	66
507087.7099	3857014.806	81	68
