easting	northing	strike	dip
509176.6	3859025.3	86.982	90
507232.6	3858913.3	280.658	90
509216.6	3858851.3	84.33	90
506790.6	3858601.3	88.934	90
502599.6	3859287.3	148.644	70
504425.6	3859233.3	264.713	70
502532.6	3859012.3	53.215	40
505411.6	3862371.3	24.911	85
504957.6	3862160.3	43.245	60
504894.6	3861789.3	29.719	60
506178.6	3861761.3	167.099	50
505866.6	3861742.3	42.131	60
506327.6	3861558.3	56.204	75
505012.6	3861431.3	44.913	50
505474.6	3861450.3	65.875	60
505751.6	3861268.3	46.763	50
505707.6	3860771.3	54.369	40
506062.6	3860434.3	51.7	65
504267.6	3862980.3	33.184	65
503613.6	3862772.3	28.669	70
503888.6	3862645.3	4.207	90
504352.6	3862585.3	29.521	65
503631.6	3862477.3	26.694	70
504567.6	3862258.3	32.148	60
503450.6	3862195.3	32.245	50
504306.6	3861950.3	33.75	60
504715.6	3861682.3	49.35	60
504081.6	3861384.3	41.504	70
504703.6	3861352.3	44.644	65
502529.6	3865684.3	22.49	50
503010.6	3865564.3	10.678	70
503312.6	3865262.3	42.788	60
502500.6	3864988.3	2.876	45
503343.6	3864941.3	26.489	60
504200.6	3865492.3	15.689	65
504865.6	3865383.3	2.288	90
503958.6	3865155.3	4.889	65
504915.6	3865163.3	26.491	80
506081.6	3864979.3	7.159	80
503887.6	3864655.3	0.041	45
504251.6	3864611.3	26.495	65
504179.6	3864445.3	33.303	65
504869.6	3864428.3	8.337	60
505565.6	3864392.3	8.238	75
504563.6	3864226.3	358.254	70
503749.6	3864074.3	345.504	55
504415.6	3864014.3	6.611	60
506570.6	3863947.3	3.048	55
505111.6	3863807.3	22.171	60
505671.6	3863759.3	35.429	60
504411.6	3863719.3	1.063	65
504935.6	3863614.3	37.054	55
504175.6	3863357.3	12.255	50
504903.6	3863210.3	31.331	70
506644.6	3863565.3	345.38	50
509228.6	3863574.3	54.185	60
508904.6	3863411.3	54.46	70
507884.6	3863378.3	54.325	80
507373.6	3863346.3	49.929	75
507984.6	3862888.3	244.095	75
505905.6	3862880.3	249.254	80
505591.6	3862682.3	48.222	70
507471.6	3862690.3	231.651	80
506797.6	3862533.3	52.806	80
507928.6	3862524.3	227.226	65
507993.6	3862200.3	234.45	70
507475.6	3862191.3	230.598	65
506053.6	3862142.3	56.684	65
506993.6	3862042.3	52.599	75
506444.6	3861848.3	157.024	50
509073.6	3863020.3	39.189	68
508839.6	3862222.3	23.919	70
508883.6	3862013.3	46.492	65
507913.6	3861969.3	40.493	90
509033.6	3861770.3	24.084	85
508341.6	3861717.3	72.388	90
509158.6	3861606.3	55.421	65
508787.6	3861351.3	226.502	80
507503.6	3865751.3	359.831	65
508197.6	3865629.3	357.694	65
508304.6	3865154.3	357.312	80
506647.6	3865122.3	16.675	75
507096.6	3865111.3	352.525	65
508867.6	3865019.3	42.705	60
508181.6	3864875.3	35.391	65
509246.6	3864822.3	35.41	60
508874.6	3864627.3	50.849	75
509516.6	3864590.3	54.854	50
509313.6	3864300.3	54.2	60
508360.6	3864188.3	41.945	70
509025.6	3863948.3	55.495	65
