x1	y1	z1	x2	y2	z2	x3	y3	z3
-0.30898	-0.10487	0.94527	-0.84347	-0.42899	-0.3233	0.43942	-0.8972	0.044092
-0.30898	-0.10487	0.94527	-0.84347	-0.42899	-0.3233	0.43942	-0.8972	0.044092
-0.29839	-0.070215	0.95186	-0.88912	-0.34217	-0.30396	0.34704	-0.93701	0.039669
-0.29839	-0.070215	0.95186	-0.88912	-0.34217	-0.30396	0.34704	-0.93701	0.039669
-0.28958	0.042219	0.95622	-0.90867	-0.32605	-0.26078	0.30077	-0.94441	0.13278
-0.28959	0.051055	0.95579	-0.91331	-0.31351	-0.25997	0.28637	-0.94821	0.13742
-0.28958	0.042219	0.95622	-0.90867	-0.32605	-0.26078	0.30077	-0.94441	0.13278
-0.30898	-0.10487	0.94527	-0.84347	-0.42899	-0.3233	0.43942	-0.8972	0.044092
-0.30898	-0.10487	0.94527	-0.84347	-0.42899	-0.3233	0.43942	-0.8972	0.044092
-0.30898	-0.10487	0.94527	-0.84347	-0.42899	-0.3233	0.43942	-0.8972	0.044092
-0.29453	-0.11739	0.9484	-0.85137	-0.41856	-0.3162	0.43408	-0.90057	0.023341
-0.24852	-0.058272	0.96687	-0.93382	-0.25076	-0.25514	0.25732	-0.96629	0.0079021
-0.24852	-0.058272	0.96687	-0.93382	-0.25076	-0.25514	0.25732	-0.96629	0.0079021
-0.24852	-0.058272	0.96687	-0.93382	-0.25076	-0.25514	0.25732	-0.96629	0.0079021
-0.29839	-0.070215	0.95186	-0.88912	-0.34217	-0.30396	0.34704	-0.93701	0.039669
-0.29839	-0.070215	0.95186	-0.88912	-0.34217	-0.30396	0.34704	-0.93701	0.039669
-0.29839	-0.070215	0.95186	-0.88912	-0.34217	-0.30396	0.34704	-0.93701	0.039669
-0.28959	0.051055	0.95579	-0.91331	-0.31351	-0.25997	0.28637	-0.94821	0.13742
-0.28958	0.042219	0.95622	-0.90867	-0.32605	-0.26078	0.30077	-0.94441	0.13278
-0.28368	-0.053048	0.95745	-0.90431	-0.31735	-0.28551	0.31899	-0.94682	0.042054
-0.28368	-0.053048	0.95745	-0.90431	-0.31735	-0.28551	0.31899	-0.94682	0.042054
-0.30898	-0.10487	0.94527	-0.84347	-0.42899	-0.3233	0.43942	-0.8972	0.044092
-0.30898	-0.10487	0.94527	-0.84347	-0.42899	-0.3233	0.43942	-0.8972	0.044092
-0.29453	-0.11739	0.9484	-0.85137	-0.41856	-0.3162	0.43408	-0.90057	0.023341
-0.29453	-0.11739	0.9484	-0.85137	-0.41856	-0.3162	0.43408	-0.90057	0.023341
-0.29453	-0.11739	0.9484	-0.85137	-0.41856	-0.3162	0.43408	-0.90057	0.023341
-0.26197	-0.064688	0.96291	-0.88897	-0.37219	-0.26686	0.37564	-0.9259	0.039995
-0.24852	-0.058272	0.96687	-0.93382	-0.25076	-0.25514	0.25732	-0.96629	0.0079021
-0.24852	-0.058272	0.96687	-0.93382	-0.25076	-0.25514	0.25732	-0.96629	0.0079021
-0.24852	-0.058272	0.96687	-0.93382	-0.25076	-0.25514	0.25732	-0.96629	0.0079021
-0.24631	-0.049108	0.96795	-0.92799	-0.27616	-0.25015	0.2796	-0.95985	0.022449
-0.31462	0.010217	0.94916	-0.9059	-0.30186	-0.29703	0.28348	-0.9533	0.10423
-0.29147	-0.061801	0.95458	-0.84812	-0.44484	-0.28776	0.44242	-0.89348	0.077243
-0.30721	-0.011291	0.95157	-0.86268	-0.41884	-0.28348	0.40176	-0.90799	0.11893
-0.30721	-0.011291	0.95157	-0.86268	-0.41884	-0.28348	0.40176	-0.90799	0.11893
-0.29839	-0.070215	0.95186	-0.88912	-0.34217	-0.30396	0.34704	-0.93701	0.039669
-0.29839	-0.070215	0.95186	-0.88912	-0.34217	-0.30396	0.34704	-0.93701	0.039669
-0.29839	-0.070215	0.95186	-0.88912	-0.34217	-0.30396	0.34704	-0.93701	0.039669
-0.31201	-0.028667	0.94965	-0.89932	-0.31344	-0.30494	0.3064	-0.94918	0.072016
-0.31609	-0.028679	0.9483	-0.89509	-0.32232	-0.3081	0.31449	-0.9462	0.076211
-0.28368	-0.053048	0.95745	-0.90431	-0.31735	-0.28551	0.31899	-0.94682	0.042054
-0.28368	-0.053048	0.95745	-0.90431	-0.31735	-0.28551	0.31899	-0.94682	0.042054
-0.26794	-0.044156	0.96242	-0.88253	-0.38945	-0.26356	0.38646	-0.91999	0.065381
-0.26794	-0.044156	0.96242	-0.88253	-0.38945	-0.26356	0.38646	-0.91999	0.065381
-0.26794	-0.044156	0.96242	-0.88253	-0.38945	-0.26356	0.38646	-0.91999	0.065381
-0.42931	-0.026127	0.90278	-0.75165	-0.54384	-0.37318	0.50072	-0.83878	0.21384
