station	easting	northing	poleTrend	polePlunge	trend	plunge	strike	dip
I01-03	566126	4995865	269	4	17.9	76.3	359.0	86.0
I01-07	567388	4995878	261.5	10.2	35.4	74.8	351.5	79.8
I01-08	567154	4995819	259.6	7.4	10.4	70.9	349.6	82.6
I01-09	567045	4995533	73.9	13.2	300.3	71.2	163.9	76.8
I01-10	566278	4996761	90.9	6	335.2	75.8	180.9	84.0
I01-19	565669	4999527	266.3	1	160.6	87.2	356.3	89.0
I01-57	568207	5002056	99.3	15.6	323.4	68.6	189.3	74.4
I01-60	568318	4998805	278	1.3	54.3	87.6	8.0	88.7
I01-60.5	568561	5003547	89	15	334.4	57.2	179.0	75.0
I01-61	567105	4998747	81.3	7.8	302.8	79.1	171.3	82.2
I01-62	567035	4999035	98.1	0.7	355.8	87	188.1	89.3
I01-64	568809	5001171	94.1	15.9	347.2	45.5	184.1	74.1
I01-66	568319	5001799	267.3	8	15.2	65.6	357.3	82.0
I01-68	567600	4993883	263.3	13.1	47.1	74.4	353.3	76.9
I01-69	567539	4994735	258.2	24.6	47.6	62.4	348.2	65.4
I01-70	566536	4995511	283.3	25.1	171.8	37.9	13.3	64.9
IJ99-106	567374	5005230	100.6	19.5	345	50.7	190.6	70.5
IJ99-108	570519	4993760	267.2	0	357	54.2	177.2	90.0
IJ99-109	569091	4993390	92.7	0.9	352.2	83.7	182.7	89.1
IJ99-110	568314	4992407	101.2	4.4	2.8	64.9	191.2	85.6
IJ99-111	569807	5000740	284	3.9	34.3	79.7	14.0	86.1
IJ99-112	569747	5000755	269.8	13	42.7	71.4	359.8	77.0
IJ99-113	569681	5000739	269.8	13	42.7	71.4	359.8	77.0
